Lemma,poscode,surface
"Metalurgica Itatiba Eireli  - Me",3,
"Flexicotton Industria E Comercio De Produtos De Higiene",3,
"Trans Sistemas De Transportes Ltda.",3,
"M.h.c. Technology & Consumer Trends Eireli - Epp",3,
"Daf Industria Metalurgica Ltda",3,
"Flormel Industria De Alimentos Ltda - Epp",3,
"Moldmix Industria Comercio Ltda",3,
"Jobe Luv Industria E Comercio Ltda",3,
"Ascensus Trading & Logistica Ltda",3,
"Trill Quimica Ltda.",3,
"Costa Fortuna Fundacoes E Construcoes Limitada",3,
"Kieppe Servicos Ltda",3,
"Impressora Amazonense Ltda",3,
"Sementes Produtiva Ltda",3,
"Wydet Industria E Comercio De Cosmeticos Eireli - Epp",3,
"Empresa De Mineracao Horii Ltda",3,
"Ativa Cofres Ltda",3,
"R. G. Matte Maquinas - Me",3,
"Oxigen Sociedade De Produtos Especiais Para Industria L",3,
"Adrial Pre-moldados Ltda - Epp",3,
"Metalurgica Cechinato Ltda",3,
"Flavio Paulino Da Silva Filho Industria E Comercio - Ep",3,
"Acoplast Brasil Ltda",3,
"Prof Nr Cosmeticos Naturais Ltda - Epp",3,
"Flash - Sistemas Especiais Para Transporte Ltda",3,
"Akg Do Brasil - Desenvolvimento E Comercializacao De Si",3,
"Expoente Corretora De Mercadorias Imp Exp Com Repr Ltda",3,
"Yujin Railway Equipment S/a",3,
"Top Geosp Fundacoes Especiais Ltda.",3,
"Chinook Industria E Comercio Ltda",3,
"Bingool Motos E Nautica Ltda",3,
"Takko Comercial Importadora E Exportadora Ltda",3,
"Calcados Schneider Julio Ltda - Epp",3,
"Ksw Automotive Ltda",3,
"Biomatika Industria E Comercio De Produtos Naturais S/a",3,
"Luli Industria E Comercio De Confeccoes Eireli - Em Rec",3,
"Ecogames Distribuicao E Servicos S.a.",3,
"Wm Comercial Atacadista Ltda",3,
"Chb Aviacao Ltda - Epp",3,
"Equilati - Equipamentos Ltda - Epp",3,
"Fifa World Cup Brazil Assessoria Ltda",3,
"C&a Nascimento De Alimentacao Ltda - Epp",3,
"Iscas Artificiais Borboleta Ltda - Me",3,
"E. Gomes Comercio, Importacao E Exportacao - Eireli",3,
"Aleksandro Zaslawski",3,
"Warusky Comercio Industria E Representacoes Ltda",3,
"Alumiconte Componentes De Aluminio Ltda",3,
"Petropol Industria E Comercio De Polimeros Ltda",3,
"Metalurgica Metalquim Eireli - Epp",3,
"Lgl Industria E Comercio De Ferragens Ltda - Epp",3,
"Unibeleza Industria E Comercio De Cosmeticos Ltda - Epp",3,
"Maria Lopes Mateus",3,
"Nh Comercio De Tubos Termorretrateis E Produtos Antiest",3,
"Viramundo Artes E Espetaculos Ltda.",3,
"Inox-tech Comercio De Acos Inoxidaveis Ltda",3,
"Artikler Comercio De Variedades Ltda - Epp",3,
"Ricardo Soares Barbosa",3,
"Aristek Comercio Aeronautico Ltda",3,
"Luiz Gustavo Rabelo Mesquita - Me",3,
"Argos Global Partner Services Ltda",3,
"Reicom Ind E Com De Coletores E Pecas Eletricas Ltda",3,
"Costa Leste - Importacao E Exportacao Ltda - Epp",3,
"Mirassol, Comercial, Industrial, Importadora E Exportad",3,
"Incospray Comercio De Equipamentos E Servicos Ltda",3,
"Oceanside Importacao E Exportacao Ltda",3,
"Porcon & Porcon Ltda - Me",3,
"Marcius Coimbra",3,
"Deco Domi Acabamentos Metalicos Ltda - Epp",3,
"Engecer Ltda.",3,
"Rotta Comercial Ltda",3,
"Equipamentos Rodoviarios Rodrigues Ltda",3,
"Plataforma Comercial - Importadora E Exportadora De Vei",3,
"Mca Textil Ltda",3,
"Stratti Couros - Eireli - Epp",3,
"Ceat Comercio De Pecas Para Compressores Ltda - Me",3,
"Appo Tecnometal Ltda",3,
"Metalurgica Tuba Ltda",3,
"Taegutec Do Brasil Ltda.",3,
"Blum Do Brasil Industria E Comercio De Ferragens Ltda.",3,
"Perfect Way Fast Fashion Ltda.",3,
"P. Severini Netto Comercial Ltda",3,
"Etiborr Estampas Serigraficas Ltda - Epp",3,
"Paulo Henrique Salvadori",3,
"Minerios Gerais Ltda",3,
"Grampofix Industria E Comercio Ltda",3,
"Perol Comercial E Industrial Ltda",3,
"Bral-max Industria E Comercio De Plasticos Ltda - Epp",3,
"Zap Ind. Com. De Equipamentos Para Construcao Ltda",3,
"Disk Maqpecas Importacao E Exportacao Ltda",3,
"True Colors Tintas E Texturas Eireli - Epp",3,
"Agrobona - Industria De Equipamentos Ltda.",3,
"Nodusoja Industria E Comercio Ltda - Me",3,
"L.f.krause Industria Comercio,importacao, Exportacao E",3,
"Darnel Embalagens Ltda.",3,
"Oz Industria E Comercio De Audio Ltda - Me",3,
"Inter Continental De Cafe S a",3,
"A. R. Wink - Me",3,
"Braneg Comercio De Produtos Agricolas Ltda - Me",3,
"Everest Industria De Alimentos Ltda",3,
"Exporsell Comercial Exportadora E Importadora Ltda - Ep",3,
"Incape - Industria Catarinense De Papeis Especiais Eire",3,
"Silos Condor Agroindustrial Ltda",3,
"Julio Pereira Hors",3,
"Ativicon Industria E Comercio De Equipamentos Eletro El",3,
"Gang Nail Do Brasil Industria E Comercio Ltda",3,
"Atf Solucoes Em Montagem Ltda - Epp",3,
"Sao Rafael Industria E Comercio Ltda",3,
"Cioba Metalurgica Ltda",3,
"Isolasil - Comercio De Tintas, Vernizes E Materiais Iso",3,
"Primestone Comercio De Pedras Decorativas Ltda",3,
"Marine Industria E Comercio De Tintas Ltda - Me",3,
"Ricardo Dias Fernandes Buri - Me",3,
"Goodiesel Autoparts Comercio Exportacao E Importacao Lt",3,
"Capelli & Fabris Industria E Comercio De Produtos Medic",3,
"Genetica Tecnologias Ambientais Ltda",3,
"Cris Mar Pesca Captura Exportacao E Importacao Ltda - E",3,
"Saraiva E Siciliano S/a",3,
"Quadrant Solidur Do Brasil Ltda",3,
"D&s Refinacao Industria, Comercio E Servicos Ltda - Me",3,
"Hansgrohe Brasil Metais Sanitarios Ltda.",3,
"Imprav Importacao E Exportacao Ltda",3,
"Mirandopolis Ind E Com De Maquinas Texteis Ltda - Epp",3,
"Carlos Alberto Martins Bastos",3,
"Industria E Comercio De Couros Dowidi Ltda.",3,
"Sidel Do Brasil Ltda.",3,
"Brasimol Ltda - Epp",3,
"Jeruel Plasticos Industria E Comercio Ltda",3,
"L. A. Importacao E Exportacao Eireli",3,
"Glass Color Do Brasil Industria E Comercio Ltda - Epp",3,
"Global Enterprises Ltda",3,
"Ferramentaria E Estamparia Pristel Industria E Comercio",3,
"Comil Cover Sand Industria E Comercio Ltda",3,
"Mantovani Joias Ltda - Epp",3,
"Adj Industria E Comercio De Fixadores Ortopedicos E Imp",3,
"Qbex Computadores S/a",3,
"Sga Sociedade Geral Agropecuaria Ltda",3,
"Horst John E Cia Ltda - Me",3,
"Telespazio Brasil S/a",3,
"Alexandre Tanese Nogueira Da Silva - Me",3,
"Eurostar Produtos Graficos E Comunicacao Visual Ltda.",3,
"Forteusi Sistemas Industriais Ltda",3,
"Lagoa Azul Comercio Importacao E Exportacao Ltda. - Epp",3,
"G3 Tech Solucoes Ltda",3,
"Bouton Industria E Comercio De Artigos De Cama E Banho",3,
"Lojas Tropical E Refrigeracao Ltda - Epp",3,
"Madarco S a Industria E Comercio",3,
"Gaucho - Industria, Comercio, Importacao E Exportacao D",3,
"Geokinetics Geophysical Do Brasil Ltda",3,
"Holepaper Papeis E Embalagens Ltda",3,
"Bischoff Creative Group Eireli",3,
"Arcomex Comercial Exportadora Ltda - Epp",3,
"Unibras Industria E Comercio De Calcados Ltda",3,
"Kolvyn Importadora, Exportadora De Produtos Industriali",3,
"Kazunori Mitui - Me",3,
"Nova Dampex Industrial Eireli",3,
"Vidracaria Uniao Industria E Comercio Ltda - Epp",3,
"Cortiarte Quadros E Cortica Ltda",3,
"Guara-norte Operacoes Maritimas Ltda",3,
"Sjd Ensino De Idiomas S/s Ltda - Epp",3,
"Isotron Eireli",3,
"Industria De Moveis Manepli Ltda - Me",3,
"The Marketing Store Worldwide Consumer Products S.a.",3,
"Lufamar Tecidos Ltda",3,
"Ordep Sul Agricola E Industrial Ltda - Epp",3,
"Lamon Produtos Ltda",3,
"Eletro Manganes Ltda",3,
"Ceramica Cirilo Vogel Ltda - Epp",3,
"Embalebem Industria E Distribuicao De Plasticos Ltda -",3,
"Liga Life Industria E Comercio Ltda  - Me",3,
"N E W Comercial Exportadora, Importadora E Servicos Ltd",3,
"Automotion Ind Com Importacao E Exportacao Ltda",3,
"Duaron Industria E Comercio Ltda  - Me",3,
"H Fort Equipamentos Agroflorestais Ltda - Epp",3,
"Aero Dc Veiculos Ltda - Me",3,
"Fortluz Industria E Comercio Ltda",3,
"Marel Brasil Comercial E Industrial Ltda",3,
"Capivara Editora Ltda - Epp",3,
"Industria De Pecas Inpel Sa",3,
"Wfb Do Brasil Ltda - Epp",3,
"Indestel Industria De Embalagens Oeste Ltda",3,
"Seiva Artigos Do Vestu-rio Eireli - Epp",3,
"Ransburg Equipamentos Industriais Ltda",3,
"Ademar De Goes - Me",3,
"Bussmann Do Brasil Ltda",3,
"Mdv Industria E Comercio De Portas Ltda - Me",3,
"Belaflex - Industria E Comercio De Moveis E Estofados L",3,
"Auden Refrigeracao Ltda",3,
"Ferrari Industria Metalurgica Ltda",3,
"Plasticos Magno Ltda.",3,
"Are Embalagens Ltda",3,
"Tbrtech - Comercio, Servicos, Importacao E Exportacao D",3,
"Xdent Equipamentos Odontologicos Ltda - Me",3,
"Reflex & Allen Do Brasil Automotiva Ltda.",3,
"Florian Maurice Francois Croce",3,
"Belo Diam Industrial Ltda",3,
"Rasper Industria E Comercio De Equipamentos Industriais",3,
"Swell Importacao E Comercio De Produtos De Iluminacao S",3,
"Chocoleite Industria De Alimentos Ltda",3,
"Industria E Comercio Colchao Inteligente Franchising Lt",3,
"Carlos Gustavo Puentes De Los Reyes - Me",3,
"Formil Quimica Ltda",3,
"Jtg  Industria De Plasticos E Moldes Ltda - Epp",3,
"C.e.strauss Comercial Exportadora E Importadora Ltda",3,
"P.d.f.s. Comercial Importadora E Exportadora Ltda - Epp",3,
"Ecil Informatica Industria E Comercio Ltda.",3,
"Eco-sand Sistemas E Equipamentos Industriais",3,
"Elismol Industria Metalurgica Ltda",3,
"Aluminio Marpal Ltda",3,
"Sta Industria Ltda  - Me",3,
"Moldes Brasil Ferramentaria Industria E Comercio Ltda",3,
"Maccomevap Industria Comercio Tecnologia Iluminacao E S",3,
"Megaquimica Embalagens E Produtos Quimicos Ltda",3,
"Daruma Telecomunicacoes E Informatica S/a",3,
"Nutriz - Industria E Comercio De Alimentos Ltda",3,
"Marcos Souza Da Silva Madeiras - Me",3,
"Partners Comercio E Representacoes Ltda",3,
"Ir Multi Confeccoes Eireli - Epp",3,
"Brasplac Industrial Madereira Eireli",3,
"Industria De Moveis Coloniais Malvas Ltda - Epp",3,
"Awa Distribuidora De Mercadorias E Servicos Ltda",3,
"Jpacheco Eireli",3,
"Arpe Industria Eletronica Ltda",3,
"Filter Up Industria E Comercio Ltda",3,
"Cablaggi Sanmitsu Conexoes Eletricas Ltda",3,
"Avon Cosmeticos Ltda.",3,
"Mitsuba Autoparts Do Brasil Industria Ltda.",3,
"Daneva Maquinas E Condutores Eletricos Ltda",3,
"Unniroyal Quimica Ltda - Epp",3,
"Wedge Soft Works Epi Calcados Ltda",3,
"Gala Comercio, Importacao E Exportacao De Objetos De Ar",3,
"Servnews Robotica E Automacao Ltda",3,
"Carpi Brasil - Industria E Comercio Ltda",3,
"Fabrica De Maquinas Almeida Ltda",3,
"Cirurgica Brasil Comercial E Importadora Ltda",3,
"Frigmann Industria E Comercio Ltda",3,
"Neuza Ribeiro - Me",3,
"Lightsweet - Industria E Comercio De Alimentos Ltda",3,
"Caaj Industria E Comercio De Moldes Eireli - Epp",3,
"Mastermag Industria E Comercio De Pecas Automotivas Ltd",3,
"Compasa Do Brasil Distribuidora De Derivados De Petrole",3,
"Aqui Do Brasil Comercio, Importacao E Exportacao Ltda -",3,
"Almeida E Souza Industria E Comercio Ltda  - Me",3,
"California Toy Comercio De Artigos Diversos Ltda.",3,
"Allied S.a.",3,
"Laibel Confeccoes Eireli",3,
"Granei Metalurgica De Auto Pecas Limitada",3,
"Mago Industria E Comercio De Artefatos De Papel Ltda",3,
"Mbr Comercio De Isolantes Termicos E Refratarios Eireli",3,
"Industrial E Agricola Rio Verde Ltda",3,
"Bdbras Industria E Comercio De Cachaca Ltda - Epp",3,
"Roche Diagnostica Brasil Ltda.",3,
"Paulo Sergio Benites Schibulski - Me",3,
