Lemma,poscode,surface
"Ak Steel Holding",3,
"Fifth Third Bancorp",3,
"Seaboard",3,
"Nisource",3,
"Cablevision Systems",3,
"Anixter International",3,
"Emcor Group",3,
"Fidelity National Information Services",3,
"Barnes & Noble",3,
"Kbr",3,
"Auto-owners Insurance",3,
"Jones Financial",3,
"Avery Dennison",3,
"Netapp",3,
"Iheartmedia",3,
"Discovery Communications",3,
"Harley-davidson",3,
"Sanmina",3,
"Trinity Industries",3,
"J.b. Hunt Transport Services",3,
"Charles Schwab",3,
"Erie Insurance Group",3,
"Dr Pepper Snapple Group",3,
"Ameren",3,
"Mattel",3,
"Laboratory Corp. Of America",3,
"Gannett",3,
"Starwood Hotels & Resorts",3,
"General Cable",3,
"A-mark Precious Metals",3,
"Graybar Electric",3,
"Energy Future Holdings",3,
"Hrg Group",3,
"Mrc Global",3,
"Spectra Energy",3,
"Asbury Automotive Group",3,
"Packaging Corp. Of America",3,
"Windstream Holdings",3,
"Pultegroup",3,
"Jetblue Airways",3,
"Newell Rubbermaid",3,
"Con-way",3,
"Calumet Specialty Products Partners",3,
"Expedia",3,
"American Financial Group",3,
"Tractor Supply",3,
"United Rentals",3,
"Ingredion",3,
"Navient",3,
"Meadwestvaco",3,
"Agl Resources",3,
"St. Jude Medical",3,
"J.m. Smucker",3,
"Western Union",3,
"Clorox",3,
"Domtar",3,
"Kelly Services",3,
"Old Republic International",3,
"Advanced Micro Devices",3,
"Netflix",3,
"Booz Allen Hamilton Holding",3,
"Quintiles Transnational Holdings",3,
"Wynn Resorts",3,
"Jones Lang Lasalle",3,
"Regions Financial",3,
"Ch2m Hill",3,
"Western & Southern Financial Group",3,
"Lithia Motors",3,
"Salesforce.com",3,
"Alaska Air Group",3,
"Host Hotels & Resorts",3,
"Harman International Industries",3,
"Amphenol",3,
"Realogy Holdings",3,
"Essendant",3,
"Hanesbrands",3,
"Kindred Healthcare",3,
"Arris Group",3,
"Insight Enterprises",3,
"Alliance Data Systems",3,
"Lifepoint Health",3,
"Pioneer Natural Resources",3,
"Wyndham Worldwide",3,
"Owens Corning",3,
"Alleghany",3,
"Mcgraw Hill Financial",3,
"Big Lots",3,
"Northern Tier Energy",3,
"Hexion",3,
"Markel",3,
"Noble Energy",3,
"Leidos Holdings",3,
"Rockwell Collins",3,
"Airgas",3,
"Sprague Resources",3,
"Yrc Worldwide",3,
"Hanover Insurance Group",3,
"Fiserv",3,
"Lorillard",3,
"American Tire Distributors Holdings",3,
"Abm Industries",3,
"Sonoco Products",3,
"Harris",3,
"Telephone & Data Systems",3,
"Wisconsin Energy",3,
"Linn Energy",3,
"Raymond James Financial",3,
"Berry Plastics Group",3,
"Regency Energy Partners",3,
"Scana",3,
"Cincinnati Financial",3,
