name	continent	iso_country	iso_region	municipality	iata_code
What√¨ Airport	NA	CA	CA-NT	What√¨	YLE
Fort McMurray / Mildred Lake Airport	NA	CA	CA-AB	Fort McMurray	NML
St. Paul Airport	NA	CA	CA-AB	St. Paul	ZSP
Taltheilei Narrows Airport	NA	CA	CA-NT	Taltheilei Narrows	GSL
Macmillan Pass Airport	NA	CA	CA-YT	Macmillan Pass	XMP
Great Bear Lake Airport	NA	CA	CA-NT	Great Bear Lake	DAS
Fort Mackay / Firebag	NA	CA	CA-AB	Suncor Energy Site	YFI
Circle Hot Springs Airport	NA	US	US-AK	Circle Hot Springs	CHP
Cluff Lake Airport	NA	CA	CA-SK	Cluff Lake	XCL
Summer Beaver Airport	NA	CA	CA-ON	Summer Beaver	SUR
Crooked Creek Airport	NA	US	US-AK	Crooked Creek	CKD
Wapekeka Airport	NA	CA	CA-ON	Angling Lake	YAX
Wunnumin Lake Airport	NA	CA	CA-ON	Wunnumin Lake	WNN
Opapimiskan Lake Airport	NA	CA	CA-ON	Opapimiskan Lake	YBS
North Spirit Lake Airport	NA	CA	CA-ON	North Spirit Lake	YNO
Cordova Municipal Airport	NA	US	US-AK	Cordova	CKU
Chicken Airport	NA	US	US-AK	Chicken	CKX
Bearskin Lake Airport	NA	CA	CA-ON	Bearskin Lake	XBE
Brockville - Thousand Islands Regional Tackaberry Airport	NA	CA	CA-ON	Brockville	XBR
Kingfisher Lake Airport	NA	CA	CA-ON	Kingfisher Lake	KIF
Kincardine Airport	NA	CA	CA-ON	Kincardine	YKD
Ogoki Post Airport	NA	CA	CA-ON	Ogoki Post	YOG
Bar River Airport	NA	CA	CA-ON	Bar River	YEB
Poplar Hill Airport	NA	CA	CA-ON	Poplar Hill	YHP
Keewaywin Airport	NA	CA	CA-ON	Keewaywin	KEW
Snap Lake Airport	NA	CA	CA-NT	Snap Lake	YNX
Chisasibi Airport	NA	CA	CA-QC	Chisasibi	YKU
Rentschler Heliport	NA	US	US-CT	East Hartford	EHT
T√™te-√†-la-Baleine Airport	NA	CA	CA-QC	T√™te-√†-la-Baleine	ZTB
Kegaska Airport	NA	CA	CA-QC	Kegaska	ZKG
Donaldson Airport	NA	CA	CA-QC	Kattiniq	YAU
La Tabati√®re Airport	NA	CA	CA-QC	La Tabati√®re	ZLT
Hollister Municipal Airport	NA	US	US-CA	Hollister	HLI
Chitina Airport	NA	US	US-AK	Chitina	CXC
La Grande-3 Airport	NA	CA	CA-QC	La Grande-3	YAR
Chatham Kent Airport	NA	CA	CA-ON	Chatham-Kent	XCM
Ross River Airport	NA	CA	CA-YT	Ross River	XRR
Edmonton (CFB Namao) Heliport	NA	CA	CA-AB	Edmonton	YED
Edmonton International Airport	NA	CA	CA-AB	Edmonton	YEG
Kindersley Airport	NA	CA	CA-SK	Kindersley	YKY
Barrie-Orillia (Lake Simcoe Regional Airport)	NA	CA	CA-ON	Barrie-Orillia	YLK
Chatham Seaplane Base	NA	US	US-AK	Chatham	CYM
Maniwaki Airport	NA	CA	CA-QC	Maniwaki	YMW
Ottawa / Gatineau Airport	NA	CA	CA-QC	Gatineau	YND
Fort Mackay / Horizon Airport	NA	CA	CA-AB	Fort Mackay	HZP
Ottawa Macdonald-Cartier International Airport	NA	CA	CA-ON	Ottawa	YOW
Burns Lake Airport	NA	CA	CA-BC	Burns Lake	YPZ
Quebec Jean Lesage International Airport	NA	CA	CA-QC	Quebec	YQB
Ottawa / Rockcliffe Airport	NA	CA	CA-ON	Ottawa	YRO
Squamish Airport	NA	CA	CA-BC	Squamish	YSE
Montreal / Pierre Elliott Trudeau International Airport	NA	CA	CA-QC	Montréal	YUL
Vermilion Airport	NA	CA	CA-AB	Vermilion	YVG
Winnipeg / James Armstrong Richardson International Airport	NA	CA	CA-MB	Winnipeg	YWG
Edmonton City Centre (Blatchford Field) Airport	NA	CA	CA-AB	Edmonton	YXD
Cowley Airport	NA	CA	CA-AB	Cowley	YYM
Lester B. Pearson International Airport	NA	CA	CA-ON	Toronto	YYZ
Kelsey Airport	NA	CA	CA-MB	Kelsey	KES
Pukatawagan Airport	NA	CA	CA-MB	Pukatawagan	XPK
Chisana Airport	NA	US	US-AK	Chisana	CZN
South Indian Lake Airport	NA	CA	CA-MB	South Indian Lake	XSI
Stewart Airport	NA	CA	CA-BC	Stewart	ZST
Bloodvein River Airport	NA	CA	CA-MB	Bloodvein River	YDV
Lac Brochet Airport	NA	CA	CA-MB	Lac Brochet	XLB
Delta Junction Airport	NA	US	US-AK	Delta Junction	DJN
Debepare Airport	OC	PG	PG-WPD	Debepare	DBP
Dahl Creek Airport	NA	US	US-AK	Dahl Creek	DCK
Derim Airport	OC	PG	PG-MPL	Derim	DER
Dorobisoro Airport	OC	PG	PG-CPM	Dorobisoro	DOO
Efogi Airport	OC	PG	PG-CPM	Efogi	EFG
Woensdrecht Air Base	EU	NL	NL-NB	Bergen Op Zoom	WOE
Excursion Inlet Seaplane Base	NA	US	US-AK	Excursion Inlet	EXI
Mubatuba Airport	AF	ZA	ZA-NL	Mubatuba	DUK
Oudtshoorn Airport	AF	ZA	ZA-WC	Oudtshoorn	OUH
Francis E Warren Air Force Base	NA	US	US-WY	Cheyenne	FEW
Finschhafen Airport	OC	PG	PG-MPL	Buki	FIN
Flat Airport	NA	US	US-AK	Flat	FLT
Fane Airport	OC	PG	PG-CPM	Fane Mission	FNE
Gabbs Airport	NA	US	US-NV	Gabbs	GAB
Guasopa Airport	OC	PG	PG-MBA	Woodlark (Muyua) Island	GAZ
Gewoia Airport	OC	PG	PG-NPP	Gewoia	GEW
Pope Field	NA	US	US-IN	Greenfield	GFD
Gulgubip Airport	OC	PG	PG-WHM	Gulgubip	GLP
Goodnews Airport	NA	US	US-AK	Goodnews	GNU
Gora Airstrip	OC	PG	PG-NPP	Gora	GOC
Kolda North Airport	AF	SN	SN-KD	Kolda	KDA
Granite Mountain Air Station	NA	US	US-AK	Granite Mountain	GMT
Gordonsville Municipal Airport	NA	US	US-VA	Gordonsville	GVE
Haycock Airport	NA	US	US-AK	Haycock	HAY
Haelogo Airport	OC	PG	PG-CPM	Haelogo	HEO
Hanchey Army (Fort Rucker) Heliport	NA	US	US-AL	Fort Rucker Ozark	HEY
Tusi AHP (Hunter Liggett) Heliport	NA	US	US-CA	Fort Hunter Ligget Jolon	HGT
Princeville Airport	NA	US	US-HI	Hanalei	HPV
Waikoloa Heliport	NA	US	US-HI	Waikoloa Village	WKL
Tahneta Pass Airport	NA	US	US-AK	Tahneta Pass Lodge	HNE
Hawabango Airport	OC	PG	PG-GPK	Hawabango	HWA
Hollis Clark Bay Seaplane Base	NA	US	US-AK	Hollis	HYL
Kornasoren Airfield	AS	ID	ID-PA	Kornasoren-Numfoor Island	FOO
Tiom Airport	AS	ID	ID-PA	Tiom-Papua Island	TMY
Bilogai-Sugapa Airport	AS	ID	ID-PA	Sugapa-Papua Island	UGU
Indagen Airport	OC	PG	PG-MPL	Indagen	IDN
Itokama Airport	OC	PG	PG-NPP	Itokama	ITK
Quartz Creek Airport	NA	US	US-AK	Cooper Landing	JLA
Commodore Center Heliport	NA	US	US-CA	Sausalito	JMC
Josephstaal Airport	OC	PG	PG-MPM	Josephstaal	JOP
Pentagon Army Heliport	NA	US	US-DC	Washington	JPN
